original_Location Name,original_Street Address,original_Episode,lat,lon,formatted,name,housenumber,suburb,street,postcode,district,city,county,state,state_code,country,country_code
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",1,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Centanni's Meat Market,"815 2nd Ave, Elizabeth, NJ 07202",1,40.65828462,-74.20441415,"815 2nd Avenue, Elizabeth, NJ 07202, United States of America",,815,,2nd Avenue,7202,,Elizabeth,Union County,New Jersey,NJ,United States,us
Bucco's Vesuvio,"91 Elizabeth Ave. Elizabeth, NJ 07206",1,40.64625184,-74.19058098,"91 Elizabeth Avenue, Elizabeth, NJ 07206, United States of America",,91,,Elizabeth Avenue,7206,,Elizabeth,Union County,New Jersey,NJ,United States,us
Livia's house,"55 Gould St, Verona, NJ 07044",1,40.8351504,-74.2451409,"55 Gould Street, Verona, NJ 07044, United States of America",,55,,Gould Street,7044,,Verona,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",1,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Centanni's Meat Market,"91 Elizabeth Ave. Elizabeth, NJ 07206",1,40.64625184,-74.19058098,"91 Elizabeth Avenue, Elizabeth, NJ 07206, United States of America",,91,,Elizabeth Avenue,7206,,Elizabeth,Union County,New Jersey,NJ,United States,us
Bucco's Vesuvio,"Manolo's Restaurant, Elizabeth",1,40.672977,-74.242636,"Garden Restaurant, 943 Magie Avenue, Elizabeth, NJ 07083, United States of America",Garden Restaurant,943,,Magie Avenue,7083,Union Township,Elizabeth,Union County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",1,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",1,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",1,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Bucco's Vesuvio,"91 Elizabeth Ave. Elizabeth, NJ 07206",1,40.64625184,-74.19058098,"91 Elizabeth Avenue, Elizabeth, NJ 07206, United States of America",,91,,Elizabeth Avenue,7206,,Elizabeth,Union County,New Jersey,NJ,United States,us
Bucco's Vesuvio,"91 Elizabeth Ave. Elizabeth, NJ 07206",1,40.64625184,-74.19058098,"91 Elizabeth Avenue, Elizabeth, NJ 07206, United States of America",,91,,Elizabeth Avenue,7206,,Elizabeth,Union County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",1,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",2,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",2,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Livia's house,"55 Gould St, Verona, NJ 07044",2,40.8351504,-74.2451409,"55 Gould Street, Verona, NJ 07044, United States of America",,55,,Gould Street,7044,,Verona,Essex County,New Jersey,NJ,United States,us
Livia's house,"55 Gould St, Verona, NJ 07044",2,40.8351504,-74.2451409,"55 Gould Street, Verona, NJ 07044, United States of America",,55,,Gould Street,7044,,Verona,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",2,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Livia's house,"55 Gould St, Verona, NJ 07044",2,40.8351504,-74.2451409,"55 Gould Street, Verona, NJ 07044, United States of America",,55,,Gould Street,7044,,Verona,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",2,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",2,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",2,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Livia's house,"55 Gould St, Verona, NJ 07044",2,40.8351504,-74.2451409,"55 Gould Street, Verona, NJ 07044, United States of America",,55,,Gould Street,7044,,Verona,Essex County,New Jersey,NJ,United States,us
Green Grove,"103 Pleasant Valley Way, West Orange, NJ 07052",2,40.82089436,-74.25283885,"103 Pleasant Valley Way, West Orange, NJ 07052, United States of America",,103,,Pleasant Valley Way,7052,,West Orange,Essex County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",2,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
Barone Sanitation,"275 Broadway Jersey City, NJ 07306",2,40.73696157,-74.07532912,"275 Broadway, Jersey City, NJ 07306, United States of America",,275,,Broadway,7306,,Jersey City,Hudson County,New Jersey,NJ,United States,us
Barone Sanitation,"275 Broadway Jersey City, NJ 07306",2,40.73696157,-74.07532912,"275 Broadway, Jersey City, NJ 07306, United States of America",,275,,Broadway,7306,,Jersey City,Hudson County,New Jersey,NJ,United States,us
Verbum Dei,"1 N 5th St, Harrison, NJ 07029",2,40.747683,-74.154234,"1 North 5th Street, Harrison, NJ 07029, United States of America",,1,,North 5th Street,7029,,Harrison,Hudson County,New Jersey,NJ,United States,us
The Bada Bing,"230 NJ-17, Lodi, NJ 07644",2,40.881841,-74.066683,"230 Nj-17, Lodi, NJ 07644, United States of America",,230,,Nj-17,7644,Lodi,Lodi,Bergen County,New Jersey,NJ,United States,us
Verbum Dei,"1 N 5th St, Harrison, NJ 07029",3,40.747683,-74.154234,"1 North 5th Street, Harrison, NJ 07029, United States of America",,1,,North 5th Street,7029,,Harrison,Hudson County,New Jersey,NJ,United States,us
Satriale's,"101 Kearny Avenue, Kearny, NJ 07032",3,40.755731,-74.155322,"101 Kearny Avenue, Kearny, NJ 07032, United States of America",,101,,Kearny Avenue,7032,,Kearny,Hudson County,New Jersey,NJ,United States,us
Soprano House,"14 Aspen Dr, Caldwell, NJ 07006",3,40.867817,-74.246482,"14 Aspen Drive, North Caldwell, NJ 07006, United States of America",,14,,Aspen Drive,7006,,North Caldwell,Essex County,New Jersey,NJ,United States,us
